ident,name,type,latitude,longitude,country code,airport
GOW,GOWRIE JUNCTION,VFR,-27.5,151.8861111,AU,
GRAA,GRANYA,VFR,-36.1111111,147.3166667,AU,
GVH,GRAVELLY BEACH,VFR,-41.2875,146.9722222,AU,
GRHL,GREEN HILLS,VFR,-31.925,116.9583333,AU,
GNIS,GREEN ISLAND (CAIRNS),VFR,-16.7583333,145.975,AU,
GRL,GREEN ISLAND (MACKAY),VFR,-20.9833333,149.15,AU,
GRNH,GREENHILL,VFR,-17.04,145.805,AU,
GNM,GREENMOUNT,VFR,-27.7833333,151.95,AU,
GRRV,GROSE RIVER,VFR,-33.6144444,150.6702778,AU,
GDG,GUNDAGAI,VFR,-35.0611111,148.1027778,AU,
GUP,GUNN PT,VFR,-12.1833333,130.9916667,AU,
GUNN,GUNNING,VFR,-34.7816667,149.2666667,AU,
GUNG,GUTHALUNGRA,VFR,-19.9333333,147.8333333,AU,
HSP,HADSPEN,VFR,-41.5083333,147.0583333,AU,
HMM,HAMMOND ISLAND,VFR,-10.5333333,142.2166667,AU,
HMN,HAMPTON,VFR,-27.3583333,152.0666667,AU,
HAVY,HAPPY VALLEY,VFR,-26.8077778,153.1330556,AU,
HBB,HARBOUR BRIDGE,VFR,-33.8533333,151.2083333,AU,
HAF,HAREFIELD,VFR,-34.9638889,147.5166667,AU,
HGTE,HARROGATE,VFR,-34.9533333,139.0183333,AU,
HARV,HARVEY,VFR,-33.0833333,115.9,AU,
HSTI,HASTINGS,VFR,-28.3,145.1833333,AU,
HASS,HASTINGS PT,VFR,-28.3583333,153.58,AU,
HATF,HATFIELD,VFR,-33.7,143.65,AU,
HVI,HAVANNAH ISLAND,VFR,-18.8444444,146.5388889,AU,
HPT,HAY PT,VFR,-21.2777778,149.2916667,AU,
HAZ,HAZELWOOD ISLAND,VFR,-20.2833333,149.0833333,AU,
HEAT,HEATHCOTE TOWNSHIP,VFR,-36.9166667,144.7,AU,
HRR,HELENA RIVER RESV,VFR,-32.0013889,116.2266667,AU,
HNB,HELENSBURGH,VFR,-34.1916667,150.975,AU,
HED,HELIDON,VFR,-27.55,152.1333333,AU,
HNLY,HENLEY JETTY,VFR,-34.9197222,138.4908333,AU,
HKE,HERDSMAN LAKE,VFR,-31.9202778,115.8138889,AU,
HXB,HEXHAM BRIDGE,VFR,-32.83,151.69,AU,
HIPA,HIGH PERFORMANCE AREA 3,VFR,-27.1494444,153.8469444,AU,
